icao,name,city,country,lat,lon,elev_m,type,iata
LOWG,Graz Airport,Feldkirchen bei Graz,AT,46.9911,15.4396,340,L,GRZ
LOWI,Innsbruck Airport,Innsbruck,AT,47.2602,11.344,581,L,INN
LOWK,Klagenfurt Airport,Klagenfurt am Wörthersee,AT,46.6425,14.3377,449,L,KLU
LOWL,Linz-Hörsching Airport,Linz,AT,48.23536,14.18813,299,L,LNZ
LOWS,Salzburg Airport,Salzburg,AT,47.7933,13.0043,430,L,SZG
LOWW,Vienna International Airport,Vienna,AT,48.1103,16.5697,183,L,VIE
EBBR,Brussels Airport,Zaventem,BE,50.9014,4.48444,53,L,BRU
EBCI,Brussels South Charleroi Airport,Charleroi,BE,50.46196,4.45956,187,L,CRL
EBOS,Ostend-Bruges International Airport,Oostende,BE,51.1998,2.87467,4,L,OST
LBBG,Burgas Airport,Burgas,BG,42.56992,27.51517,41,L,BOJ
LBPD,Plovdiv International Airport,Plovdiv,BG,42.0678,24.8508,182,L,PDV
LBSF,Sofia Airport,Sofia,BG,42.69636,23.41767,531,L,SOF
LBWN,Varna Airport,Varna,BG,43.2321,27.8251,70,L,VAR
LCEN,Ercan International Airport,Tymbou (Kirklar),CY,35.15306,33.50735,123,L,ECN
LCLK,Larnaca International Airport,Larnaca,CY,34.8751,33.6249,2,L,LCA
LCPH,Paphos International Airport,Paphos,CY,34.718,32.4857,12,L,PFO
LKKV,Karlovy Vary Airport,Karlovy Vary,CZ,50.203,12.915,606,L,KLV
LKMT,Leoš Janáček Airport Ostrava,Mošnov,CZ,49.6963,18.1111,257,L,OSR
LKPD,Pardubice Airport,Pardubice,CZ,50.01505,15.73981,226,L,PED
LKPR,Václav Havel Airport Prague,Prague,CZ,50.10087,14.25991,380,L,PRG
LKCS,České Budějovice South Bohemian Airport,České Budějovice,CZ,48.94817,14.42832,432,L,JCL
EDDB,Berlin Brandenburg Airport,Berlin,DE,52.36174,13.50234,48,L,BER
EDNY,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.6713,9.51149,417,L,FDH
EDDW,Bremen Airport,Bremen,DE,53.04679,8.78932,4,L,BRE
EDDK,Cologne Bonn Airport,Köln (Cologne),DE,50.8659,7.14274,92,L,CGN
EDLW,Dortmund Airport,Dortmund,DE,51.5183,7.61224,130,L,DTM
EDDC,Dresden Airport,Dresden,DE,51.13412,13.76783,230,L,DRS
EDDL,Düsseldorf Airport,Düsseldorf,DE,51.2895,6.76678,45,L,DUS
EDDE,Erfurt-Weimar Airport,Erfurt,DE,50.97828,10.96071,316,L,ERF
EDDF,Frankfurt Main Airport,Frankfurt am Main,DE,50.02671,8.55835,111,L,FRA
EDFH,Frankfurt-Hahn Airport,Frankfurt am Main (Lautzenhausen),DE,49.94635,7.26173,503,L,HHN
EDDH,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.6304,9.98823,16,L,HAM
EDDV,Hannover Airport,Hannover,DE,52.4611,9.68508,56,L,HAJ
EDSB,Karlsruhe Baden-Baden Airport,Rheinmünster,DE,48.7794,8.0805,124,L,FKB
EDVK,Kassel Airport,Calden,DE,51.41839,9.39164,250,L,KSF
EDDP,Leipzig/Halle Airport,Schkeuditz,DE,51.42066,12.2327,142,L,LEJ
EDJA,Memmingen Allgau Airport,Memmingen,DE,47.98809,10.23825,633,L,FMM
EDDM,Munich Airport,Munich,DE,48.3538,11.7861,453,L,MUC
EDDG,Münster Osnabrück Airport,Greven,DE,52.13382,7.68848,49,L,FMO
EDDN,Nuremberg Airport,Nuremberg,DE,49.4987,11.07806,319,L,NUE
EDLP,Paderborn Lippstadt Airport,Büren,DE,51.61253,8.61746,213,L,PAD
EDDS,Stuttgart Airport,Stuttgart,DE,48.6899,9.22196,389,L,STR
EDLV,Weeze (Niederrhein) Airport,Weeze,DE,51.60136,6.14123,32,L,NRN
EKYT,Aalborg Airport,Aalborg,DK,57.09476,9.84993,3,L,AAL
EKAH,Aarhus Airport,Aarhus,DK,56.30333,10.61829,25,L,AAR
EKBI,Billund Airport,Billund,DK,55.74034,9.15702,75,L,BLL
EKCH,Copenhagen Kastrup Airport,Copenhagen,DK,55.6179,12.656,5,L,CPH
EKOD,Odense Hans Christian Andersen Airport,Odense,DK,55.47531,10.32721,17,L,ODE
EETN,Lennart Meri Tallinn Airport,Tallinn,EE,59.41325,24.83264,40,L,TLL
LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,40.49341,-3.57225,609,L,MAD
LEAL,Alicante-Elche Miguel Hernández Airport,Alicante,ES,38.2822,-0.55816,43,L,ALC
LEAS,Asturias Airport,Ranón,ES,43.5636,-6.03462,127,L,OVD
LEBB,Bilbao Airport,Bilbao,ES,43.3011,-2.91061,42,L,BIO
GCRR,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.9455,-13.6052,14,L,ACE
GCFV,Fuerteventura Airport,El Matorral,ES,28.4527,-13.8638,26,L,FUE
LEGE,Girona-Costa Brava Airport,Girona,ES,41.90464,2.76177,143,L,GRO
GCLP,Gran Canaria Airport,Gran Canaria Island,ES,27.9319,-15.3866,24,L,LPA
LEIB,Ibiza Airport,Ibiza (Eivissa),ES,38.8729,1.37312,7,L,IBZ
LEBL,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846,4,L,BCN
LEMH,Menorca Airport,Mahón (Maó),ES,39.8626,4.21865,92,L,MAH
LEMG,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.49911,16,L,AGP
LEPA,Palma de Mallorca Airport,Palma de Mallorca,ES,39.5517,2.73881,8,L,PMI
LEMI,Region of Murcia International Airport,Corvera,ES,37.80285,-1.12488,196,L,RMU
LERS,Reus Airport,Reus,ES,41.14751,1.16835,71,L,REU
LEST,Santiago-Rosalía de Castro Airport,Santiago de Compostela,ES,42.8963,-8.41514,370,L,SCQ
LEZL,Seville Airport,Seville,ES,37.418,-5.89311,34,L,SVQ
GCXO,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,ES,28.48275,-16.34171,633,L,TFN
GCTS,Tenerife Sur Airport,Tenerife,ES,28.0445,-16.5725,64,L,TFS
LEVC,Valencia Airport,Valencia,ES,39.48916,-0.48096,73,L,VLC
LEZG,Zaragoza Airport,Zaragoza,ES,41.6662,-1.04155,263,L,ZAZ
EFHK,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,60.31836,24.96334,55,L,HEL
EFIV,Ivalo Airport,Ivalo,FI,68.6073,27.4053,147,L,IVL
EFKT,Kittilä International Airport,Kittilä,FI,67.701,24.8468,196,L,KTT
EFKU,Kuopio Airport,Kuopio / Siilinjärvi,FI,63.0071,27.7978,98,L,KUO
EFLP,Lappeenranta Airport,Lappeenranta,FI,61.0446,28.14474,106,L,LPP
EFMA,Mariehamn Airport,Mariehamn,FI,60.1222,19.8982,5,L,MHQ
EFOU,Oulu Airport,Oulu / Oulunsalo,FI,64.9301,25.3546,14,L,OUL
EFRO,Rovaniemi Airport,Rovaniemi,FI,66.56333,25.82975,196,L,RVN
EFTP,Tampere-Pirkkala Airport,Tampere / Pirkkala,FI,61.4141,23.6044,119,L,TMP
EFTU,Turku Airport,Turku,FI,60.5141,22.2628,49,L,TKU
EFVA,Vaasa Airport,Vaasa,FI,63.05023,21.76254,6,L,VAA
LFKB,Bastia-Poretta International airport,Bastia,FR,42.5527,9.48373,8,L,BIA
LFOB,Beauvais-Tillé airport,Beauvais,FR,49.4544,2.11278,109,L,BVA
LFBD,Bordeaux–Mérignac Airport,Bordeaux,FR,44.82865,-0.71536,49,L,BOD
LFRB,Brest Bretagne airport,Brest,FR,48.4479,-4.41854,99,L,BES
LFPG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,49.00896,2.55412,119,L,CDG
LFLC,Clermont-Ferrand Auvergne airport,Clermont-Ferrand,FR,45.7867,3.16917,332,L,CFE
LFSB,EuroAirport Basel–Mulhouse–Freiburg,Bâle / Mulhouse,FR,47.60068,7.52112,270,L,BSL
LFKF,Figari Sud-Corse Airport,Figari,FR,41.50185,9.09709,26,L,FSC
LFQQ,Lille Airport,Lesquin,FR,50.56656,3.10243,48,L,LIL
LFLL,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",FR,45.726,5.09014,250,L,LYS
LFML,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",FR,43.43809,5.2125,23,L,MRS
LFMT,Montpellier-Méditerranée Airport,Montpellier/Méditerranée,FR,43.5762,3.96301,5,L,MPL
LFMN,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",FR,43.6584,7.21587,4,L,NCE
LFPB,Paris-Le Bourget International Airport,Paris,FR,48.96228,2.43654,66,L,LBG
LFPO,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,48.7295,2.35896,89,L,ORY
LFST,Strasbourg Airport,Strasbourg,FR,48.5383,7.62823,154,L,SXB
LFBO,Toulouse-Blagnac Airport,Toulouse/Blagnac,FR,43.6291,1.36382,152,L,TLS
LGAV,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.9364,23.9445,94,L,ATH
LGSA,Chania International Airport,Souda,GR,35.53121,24.15067,149,L,CHQ
LGKR,Corfu Ioannis Kapodistrias International Airport,Kerkyra (Corfu),GR,39.60145,19.91218,2,L,CFU
LGIR,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR,35.3397,25.1803,35,L,HER
LGKV,Kavala Alexander the Great International Airport,Kavala,GR,40.9133,24.6192,5,L,KVA
LGKO,"Kos International Airport ""Ippokratis""",Kos Island,GR,36.79452,27.09115,126,L,KGS
LGRP,"Rhodes International Airport ""Diagoras""",Rhodes,GR,36.4054,28.0862,5,L,RHO
LGSR,Santorini International Airport,Santorini Island,GR,36.40004,25.47864,39,L,JTR
LGTS,Thessaloniki Macedonia International Airport,Thessaloniki,GR,40.51928,22.97001,7,L,SKG
LDDU,Dubrovnik Ruđer Bošković Airport,Dubrovnik,HR,42.56225,18.26554,161,L,DBV
LDPL,Pula Airport,Pula,HR,44.8935,13.9222,84,L,PUY
LDRI,Rijeka Airport,Rijeka(Omišalj),HR,45.21638,14.57085,85,L,RJK
LDSP,Split Saint Jerome Airport,Split,HR,43.5389,16.298,24,L,SPU
LDZD,Zadar Airport,Zadar,HR,44.09699,15.35356,88,L,ZAD
LDZA,Zagreb Franjo Tuđman International Airport,Velika Gorica,HR,45.7429,16.0688,108,L,ZAG
LHBP,Budapest Liszt Ferenc International Airport,Budapest,HU,47.43018,19.26239,151,L,BUD
LHDC,Debrecen International Airport,Debrecen,HU,47.48947,21.61628,109,L,DEB
LHPP,Pécs-Pogány International Airport,Pécs,HU,45.98889,18.24204,198,L,PEV
EICK,Cork International Airport,Cork,IE,51.8413,-8.49111,153,L,ORK
EIDW,Dublin Airport,Dublin,IE,53.42871,-6.26212,74,L,DUB
